Age,Attrition,EmployeeNumber,Gender,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus, MonthlyIncome ,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
44,No,132,Male,Non-Travel,Research & Development,23,3,Medical,2,3,2,Laboratory Technician,2,Married,2042,4,Y,No,12,3,3,17,3,4,3,2,1,2
37,Yes,133,Male,Travel_Rarely,Human Resources,6,4,Human Resources,3,3,1,Human Resources,1,Divorced,2073,4,Y,Yes,22,4,4,7,3,3,3,2,0,2
32,No,134,Male,Travel_Rarely,Research & Development,1,1,Life Sciences,4,3,1,Research Scientist,1,Single,2956,1,Y,No,13,3,4,1,2,3,1,0,0,0
20,Yes,137,Female,Travel_Frequently,Research & Development,6,3,Life Sciences,4,2,1,Laboratory Technician,4,Single,2926,1,Y,Yes,18,3,2,1,5,3,1,0,1,0
34,No,138,Female,Travel_Rarely,Research & Development,6,4,Other,1,3,2,Research Scientist,3,Single,4809,1,Y,No,14,3,3,16,3,3,16,13,2,10
37,No,139,Male,Non-Travel,Research & Development,2,2,Life Sciences,3,2,2,Healthcare Representative,4,Divorced,5163,5,Y,No,14,3,4,17,2,4,1,0,0,0
59,No,140,Female,Non-Travel,Human Resources,2,4,Human Resources,3,2,5,Manager,4,Married,18844,9,Y,No,21,4,4,30,3,3,3,2,2,2
50,No,141,Female,Travel_Frequently,Research & Development,1,3,Life Sciences,1,3,5,Research Director,2,Married,18172,3,Y,Yes,19,3,1,28,1,2,8,3,0,7
25,Yes,142,Male,Travel_Rarely,Sales,5,3,Marketing,3,2,2,Sales Executive,3,Single,5744,1,Y,Yes,11,3,4,6,1,3,6,4,0,3
25,No,143,Male,Travel_Rarely,Research & Development,7,1,Medical,4,2,1,Research Scientist,4,Married,2889,1,Y,No,11,3,3,2,2,3,2,2,2,1
22,No,144,Female,Travel_Rarely,Research & Development,15,3,Medical,2,3,1,Laboratory Technician,4,Single,2871,1,Y,No,15,3,3,1,5,3,0,0,0,0
51,No,145,Female,Travel_Frequently,Research & Development,1,4,Medical,1,2,3,Healthcare Representative,1,Single,7484,3,Y,No,20,4,3,23,1,2,13,12,12,8
34,Yes,147,Male,Travel_Frequently,Research & Development,7,3,Life Sciences,1,1,2,Laboratory Technician,3,Single,6074,1,Y,Yes,24,4,4,9,3,3,9,7,0,6
54,No,148,Female,Non-Travel,Human Resources,26,3,Human Resources,4,4,4,Manager,4,Single,17328,2,Y,Yes,12,3,3,23,3,3,5,3,4,4
24,No,150,Male,Travel_Rarely,Research & Development,18,1,Life Sciences,2,3,1,Laboratory Technician,3,Married,2774,0,Y,No,12,3,3,6,2,3,5,3,1,2
34,No,151,Female,Travel_Rarely,Research & Development,6,4,Life Sciences,3,2,2,Research Scientist,2,Divorced,4505,6,Y,No,15,3,3,12,3,3,1,0,0,0
37,No,152,Male,Travel_Rarely,Sales,3,3,Life Sciences,3,3,3,Sales Executive,4,Single,7428,2,Y,No,12,3,1,12,3,3,5,3,1,3
34,No,153,Female,Travel_Rarely,Research & Development,5,3,Medical,3,2,3,Manager,1,Single,11631,2,Y,No,12,3,4,14,6,3,11,10,5,8
36,No,154,Female,Travel_Frequently,Sales,11,2,Technical Degree,2,3,3,Sales Executive,4,Married,9738,0,Y,No,14,3,3,10,6,3,9,7,2,8
36,No,155,Female,Travel_Rarely,Research & Development,3,2,Life Sciences,1,3,1,Laboratory Technician,4,Divorced,2835,5,Y,No,22,4,1,7,2,3,1,0,0,0
43,No,158,Male,Travel_Frequently,Sales,26,2,Life Sciences,3,3,4,Manager,4,Married,16959,1,Y,Yes,12,3,4,25,3,4,25,12,4,12
30,No,159,Male,Travel_Frequently,Research & Development,23,3,Life Sciences,1,1,1,Research Scientist,3,Divorced,2613,1,Y,No,25,4,3,10,2,2,10,7,0,9
33,No,160,Male,Non-Travel,Sales,22,2,Marketing,3,3,2,Sales Executive,2,Married,6146,0,Y,No,13,3,1,8,2,4,7,7,0,7
56,Yes,161,Female,Travel_Rarely,Research & Development,14,4,Life Sciences,2,3,1,Research Scientist,2,Married,4963,9,Y,Yes,18,3,1,7,2,3,5,4,4,3
51,No,162,Male,Travel_Rarely,Research & Development,6,3,Life Sciences,1,3,5,Research Director,3,Single,19537,7,Y,No,13,3,3,23,5,3,20,18,15,15
31,Yes,163,Male,Travel_Rarely,Sales,6,4,Life Sciences,2,1,2,Sales Executive,3,Married,6172,4,Y,Yes,18,3,2,12,3,2,7,7,7,7
26,No,164,Female,Travel_Rarely,Research & Development,6,3,Other,3,2,1,Research Scientist,2,Married,2368,1,Y,No,19,3,3,5,3,2,5,4,4,3
58,Yes,165,Female,Travel_Rarely,Research & Development,23,4,Medical,4,3,3,Healthcare Representative,4,Married,10312,1,Y,No,12,3,4,40,3,2,40,10,15,6
19,Yes,167,Male,Travel_Rarely,Sales,22,1,Marketing,4,3,1,Sales Representative,3,Single,1675,1,Y,Yes,19,3,4,0,2,2,0,0,0,0
22,No,169,Male,Travel_Rarely,Research & Development,2,1,Technical Degree,3,3,1,Laboratory Technician,4,Married,2523,0,Y,No,14,3,3,3,2,3,2,1,2,1
49,No,170,Female,Travel_Rarely,Research & Development,20,4,Medical,3,3,2,Manufacturing Director,1,Married,6567,1,Y,No,14,3,3,16,2,2,15,11,5,11
43,No,171,Female,Travel_Frequently,Research & Development,28,3,Medical,2,4,1,Research Scientist,3,Single,4739,4,Y,No,12,3,4,18,2,3,3,2,1,2
50,No,174,Female,Travel_Frequently,Sales,12,3,Marketing,3,3,3,Sales Executive,4,Single,9208,4,Y,No,11,3,4,16,3,3,2,2,2,1
31,Yes,175,Female,Travel_Rarely,Sales,20,3,Life Sciences,2,1,2,Sales Executive,3,Married,4559,3,Y,Yes,11,3,3,4,2,3,2,2,2,2
41,No,176,Male,Travel_Rarely,Sales,9,1,Life Sciences,3,3,3,Sales Executive,3,Divorced,8189,3,Y,Yes,13,3,3,12,2,3,9,7,0,7
26,No,177,Female,Travel_Rarely,Human Resources,25,1,Life Sciences,3,3,1,Human Resources,3,Married,2942,1,Y,No,23,4,4,8,3,3,8,7,5,7
36,No,178,Male,Travel_Rarely,Research & Development,6,2,Medical,2,3,2,Manufacturing Director,2,Divorced,4941,6,Y,No,20,4,4,7,0,3,3,2,0,1
51,Yes,179,Male,Travel_Frequently,Research & Development,8,4,Life Sciences,1,1,3,Manufacturing Director,4,Single,10650,2,Y,No,15,3,4,18,2,3,4,2,0,3
39,No,182,Female,Travel_Rarely,Sales,4,4,Life Sciences,4,2,2,Sales Executive,3,Married,5902,4,Y,No,14,3,3,17,1,4,15,11,5,9
25,No,183,Male,Travel_Rarely,Sales,28,3,Life Sciences,1,2,2,Sales Executive,3,Married,8639,2,Y,No,18,3,4,6,3,3,2,2,2,2
30,No,184,Male,Travel_Rarely,Human Resources,9,3,Human Resources,3,3,2,Human Resources,4,Married,6347,0,Y,Yes,19,3,4,12,2,1,11,9,4,7
32,Yes,190,Female,Travel_Rarely,Research & Development,9,3,Medical,1,3,1,Laboratory Technician,1,Single,4200,7,Y,No,22,4,1,10,2,4,5,4,0,4
45,No,192,Male,Travel_Rarely,Research & Development,29,3,Medical,3,3,1,Research Scientist,4,Single,3452,5,Y,No,13,3,2,9,2,2,6,5,0,3
38,No,193,Female,Travel_Rarely,Research & Development,3,5,Technical Degree,4,3,2,Research Scientist,3,Single,4317,3,Y,Yes,20,4,2,19,2,3,3,2,2,2
30,No,194,Female,Travel_Rarely,Research & Development,18,3,Life Sciences,1,3,1,Research Scientist,3,Single,2632,1,Y,No,14,3,3,5,4,2,5,4,0,4
32,No,195,Male,Travel_Frequently,Sales,9,2,Medical,4,1,2,Sales Executive,4,Divorced,4668,0,Y,No,17,3,4,9,2,4,8,7,0,7
30,No,197,Female,Travel_Rarely,Research & Development,5,3,Technical Degree,4,3,1,Research Scientist,1,Divorced,3204,5,Y,No,14,3,4,8,3,3,3,2,2,2
30,No,198,Male,Travel_Rarely,Research & Development,2,1,Medical,2,2,1,Laboratory Technician,4,Single,2720,0,Y,No,13,3,4,6,3,3,5,3,1,2
41,No,199,Male,Travel_Frequently,Research & Development,10,3,Life Sciences,4,2,4,Manager,1,Divorced,17181,4,Y,No,13,3,2,21,2,2,7,6,7,7
41,No,200,Male,Travel_Rarely,Research & Development,9,4,Life Sciences,3,3,1,Laboratory Technician,1,Married,2238,2,Y,No,21,4,4,7,2,3,5,0,1,4
19,No,201,Female,Travel_Rarely,Research & Development,3,1,Medical,2,3,1,Laboratory Technician,2,Single,1483,1,Y,No,14,3,4,1,3,3,1,0,0,0
40,No,202,Female,Travel_Frequently,Research & Development,26,3,Medical,2,3,2,Research Scientist,2,Divorced,5605,1,Y,No,11,3,1,20,2,3,20,7,2,13
35,No,204,Male,Travel_Rarely,Sales,1,5,Marketing,3,3,3,Sales Executive,2,Married,7295,1,Y,No,13,3,1,10,3,3,10,8,0,6
53,No,205,Male,Travel_Rarely,Sales,6,2,Marketing,2,3,2,Sales Representative,3,Married,2306,2,Y,Yes,20,4,4,13,3,1,7,7,4,5
45,No,206,Male,Travel_Rarely,Research & Development,9,3,Life Sciences,2,3,2,Laboratory Technician,2,Divorced,2348,8,Y,No,18,3,3,20,2,1,17,9,0,15
32,No,207,Female,Travel_Frequently,Sales,8,3,Marketing,2,3,3,Sales Executive,4,Single,8998,1,Y,No,14,3,4,9,2,3,9,8,3,7
29,No,208,Male,Non-Travel,Research & Development,1,1,Technical Degree,4,3,2,Manufacturing Director,3,Married,4319,1,Y,No,13,3,1,10,1,3,10,7,0,9
51,No,211,Male,Travel_Rarely,Research & Development,7,4,Medical,2,2,2,Manufacturing Director,3,Married,6132,2,Y,No,17,3,3,10,2,3,1,0,0,0
58,No,214,Female,Travel_Rarely,Research & Development,9,3,Medical,2,2,1,Research Scientist,2,Married,3346,4,Y,Yes,20,4,2,9,3,2,1,0,0,0
40,No,215,Male,Travel_Rarely,Sales,4,4,Marketing,3,2,3,Sales Executive,4,Married,10855,7,Y,No,11,3,1,15,2,2,12,11,2,11
34,No,216,Female,Travel_Frequently,Sales,2,4,Marketing,3,3,1,Sales Representative,3,Married,2231,6,Y,No,18,3,4,6,3,3,4,3,1,2
22,No,217,Male,Travel_Rarely,Research & Development,19,1,Medical,3,3,1,Research Scientist,4,Married,2323,1,Y,No,24,4,1,2,6,3,2,2,2,2
27,No,218,Male,Non-Travel,Research & Development,9,3,Medical,4,3,1,Research Scientist,2,Divorced,2024,6,Y,No,18,3,4,6,1,1,2,2,2,2
28,No,221,Male,Travel_Rarely,Research & Development,21,3,Medical,3,3,1,Research Scientist,4,Married,2713,1,Y,No,11,3,3,5,2,1,5,2,0,2
